############################### LEARNING PARAMETERS ################################

Policy improvement maximum episodes         : 5000
Policy scoring maximum episodes             : 100
Log ID                                      : 2
Log mode                                    : learn
Learning rate                               : 0.1
Maximum number of simulation step           : 1000
Observation space (Position [m])            : [-10, 10]
Observation space (Velocity [m/s])          : [-10, 10]
Terminal state bound (Position [m])         : [-4.0, 6.0]
Desired height (Position [m])               : 1
Printing for every                          : 500.0 episodes

############################# Q-LEARNING RESULT LOG ################################

Note:
Score is defined as the ratio between the obtained rewards and the total steps
taken, averaged across all the scoring episodes.

Q-Learning episode: 500, epsilon:  0.78
New best score of -970.0 achieved at episode 500
Best Q-table saved to ./02_Saved\Scores\best_q_table_2_learn_SARSA.pkl
Over all scoring episodes:
Score: -970.0 ; Average step taken 1000.0:

Q-Learning episode: 1000, epsilon:  0.61
New best score of -655.0 achieved at episode 1000
Best Q-table saved to ./02_Saved\Scores\best_q_table_2_learn_SARSA.pkl
Over all scoring episodes:
Score: -655.0 ; Average step taken 1000.0:

Q-Learning episode: 1500, epsilon:  0.47
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 2000, epsilon:  0.37
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 2500, epsilon:  0.29
New best score of -556.0 achieved at episode 2500
Best Q-table saved to ./02_Saved\Scores\best_q_table_2_learn_SARSA.pkl
Over all scoring episodes:
Score: -556.0 ; Average step taken 1000.0:

Q-Learning episode: 3000, epsilon:  0.22
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 3500, epsilon:  0.17
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 4000, epsilon:  0.14
New best score of -67.0 achieved at episode 4000
Best Q-table saved to ./02_Saved\Scores\best_q_table_2_learn_SARSA.pkl
Over all scoring episodes:
Score: -67.0 ; Average step taken 1000.0:

Q-Learning episode: 4500, epsilon:  0.11
Over all scoring episodes:
Score: -985.0 ; Average step taken 1000.0:

Q-Learning episode: 5000, epsilon:  0.08
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

############################# LAST EPISODE RESULTS #################################
------------------------------------------------------------------------------------
States visited: 1001 | Step taken: 1000 | Total rewards: 181 | Elapsed Time: 6623.5
------------------------------------------------------------------------------------
act:  -    | ter:   -   | rew: -  |  pos: 0.000 | vel: 0.000
act: Up    | ter: False | rew: -1 | pos:  0.100 | vel:  2.019
act: Idle  | ter: False | rew: -1 | pos:  0.253 | vel:  1.038
act: Down  | ter: False | rew: -1 | pos:  0.223 | vel: -1.665
act: Up    | ter: False | rew: -1 | pos:  0.150 | vel:  0.220
act: Idle  | ter: False | rew: -1 | pos:  0.131 | vel: -0.609
act: Up    | ter: False | rew: -1 | pos:  0.168 | vel:  1.372
act: Down  | ter: False | rew: -1 | pos:  0.185 | vel: -1.058
act: Up    | ter: False | rew: -1 | pos:  0.171 | vel:  0.800
act: Idle  | ter: False | rew: -1 | pos:  0.207 | vel: -0.088
act: Up    | ter: False | rew: -1 | pos:  0.293 | vel:  1.829
act: Down  | ter: False | rew: -1 | pos:  0.353 | vel: -0.663
act: Up    | ter: False | rew: -1 | pos:  0.376 | vel:  1.134
act: Idle  | ter: False | rew: -1 | pos:  0.442 | vel:  0.188
act: Idle  | ter: False | rew: -1 | pos:  0.405 | vel: -0.950
act: Up    | ter: False | rew: -1 | pos:  0.406 | vel:  1.005
act: Down  | ter: False | rew: -1 | pos:  0.387 | vel: -1.417
act: Up    | ter: False | rew: -1 | pos:  0.338 | vel:  0.456
act: Down  | ter: False | rew: -1 | pos:  0.266 | vel: -1.915
act: Up    | ter: False | rew: -1 | pos:  0.171 | vel:  0.023
act: Idle  | ter: False | rew: -1 | pos:  0.133 | vel: -0.784
act: Up    | ter: False | rew: -1 | pos:  0.154 | vel:  1.216
act: Down  | ter: False | rew: -1 | pos:  0.156 | vel: -1.196
act: Up    | ter: False | rew: -1 | pos:  0.129 | vel:  0.680
act: Idle  | ter: False | rew: -1 | pos:  0.154 | vel: -0.191
act: Idle  | ter: False | rew: -1 | pos:  0.082 | vel: -1.257
act: Idle  | ter: False | rew: -1 | pos: -0.092 | vel: -2.233
act: Up    | ter: False | rew: -1 | pos: -0.209 | vel: -0.090
act: Up    | ter: False | rew: -1 | pos: -0.106 | vel:  2.173
act: Down  | ter: False | rew: -1 | pos: -0.010 | vel: -0.278
act: Up    | ter: False | rew: -1 | pos:  0.051 | vel:  1.523
act: Down  | ter: False | rew: -1 | pos:  0.082 | vel: -0.927
act: Up    | ter: False | rew: -1 | pos:  0.081 | vel:  0.926
act: Up    | ter: False | rew: -1 | pos:  0.278 | vel:  3.035
act: Idle  | ter: False | rew: 1  | pos:  0.528 | vel:  1.948
act: Idle  | ter: False | rew: 1  | pos:  0.657 | vel:  0.621
