############################### LEARNING PARAMETERS ################################

Policy improvement maximum episodes         : 500
Policy scoring maximum episodes             : 100
Log ID                                      : 5
Log mode                                    : learn
Learning rate                               : 0.1
Maximum number of simulation step           : 1000
Observation space (Position [m])            : [-10, 10]
Observation space (Velocity [m/s])          : [-10, 10]
Terminal state bound (Position [m])         : [-2.5, 7.5]
Desired height (Position [m])               : 2.5
Printing for every                          : 50.0 episodes

############################# Q-LEARNING RESULT LOG ################################

Note:
Score is defined as the ratio between the obtained rewards and the total steps
taken, averaged across all the scoring episodes.

Q-Learning episode: 50, epsilon:  0.78
New best score of -103.0 achieved at episode 50
Best Q-table saved to ./02_Saved\Scores\best_q_table_5_learn_SARSA.pkl
Over all scoring episodes:
Score: -103.0 ; Average step taken 15.0:

Q-Learning episode: 100, epsilon:  0.61
Over all scoring episodes:
Score: -997.0 ; Average step taken 1000.0:

Q-Learning episode: 150, epsilon:  0.47
Over all scoring episodes:
Score: -983.0 ; Average step taken 1000.0:

Q-Learning episode: 200, epsilon:  0.37
New best score of 990.0 achieved at episode 200
Best Q-table saved to ./02_Saved\Scores\best_q_table_5_learn_SARSA.pkl
Over all scoring episodes:
Score: 990.0 ; Average step taken 1000.0:

Q-Learning episode: 250, epsilon:  0.29
Over all scoring episodes:
Score: -406.0 ; Average step taken 1000.0:

Q-Learning episode: 300, epsilon:  0.22
New best score of 1013.0 achieved at episode 300
Best Q-table saved to ./02_Saved\Scores\best_q_table_5_learn_SARSA.pkl
Over all scoring episodes:
Score: 1013.0 ; Average step taken 1000.0:

Q-Learning episode: 350, epsilon:  0.17
Over all scoring episodes:
Score: 993.0 ; Average step taken 1000.0:

Q-Learning episode: 400, epsilon:  0.14
Over all scoring episodes:
Score: -321.0 ; Average step taken 1000.0:

Q-Learning episode: 450, epsilon:  0.11
Over all scoring episodes:
Score: -912.0 ; Average step taken 1000.0:

Q-Learning episode: 500, epsilon:  0.08
Over all scoring episodes:
Score: -321.0 ; Average step taken 1000.0:

############################# LAST EPISODE RESULTS #################################
------------------------------------------------------------------------------------
States visited: 1001 | Step taken: 1000 | Total rewards: 931 | Elapsed Time: 1494.8
------------------------------------------------------------------------------------
act:  -    | ter:   -   | rew: -  |  pos: 0.000 | vel: 0.000
act: Up    | ter: False | rew: -1 | pos:  0.100 | vel:  2.019
act: Up    | ter: False | rew: -1 | pos:  0.402 | vel:  4.038
act: Up    | ter: False | rew: -1 | pos:  0.895 | vel:  5.835
act: Up    | ter: False | rew: -1 | pos:  1.555 | vel:  7.390
act: Down  | ter: False | rew: 1  | pos:  2.136 | vel:  4.206
act: Down  | ter: False | rew: 4  | pos:  2.388 | vel:  0.793
act: Idle  | ter: False | rew: 4  | pos:  2.386 | vel: -0.843
act: Up    | ter: False | rew: 4  | pos:  2.386 | vel:  0.854
act: Idle  | ter: False | rew: 4  | pos:  2.415 | vel: -0.277
act: Up    | ter: False | rew: 4  | pos:  2.471 | vel:  1.413
act: Idle  | ter: False | rew: 4  | pos:  2.554 | vel:  0.220
act: Idle  | ter: False | rew: 4  | pos:  2.508 | vel: -1.157
act: Up    | ter: False | rew: 4  | pos:  2.478 | vel:  0.584
act: Idle  | ter: False | rew: 4  | pos:  2.481 | vel: -0.526
act: Up    | ter: False | rew: 4  | pos:  2.513 | vel:  1.184
act: Idle  | ter: False | rew: 4  | pos:  2.574 | vel:  0.010
act: Idle  | ter: False | rew: 4  | pos:  2.507 | vel: -1.347
act: Up    | ter: False | rew: 4  | pos:  2.460 | vel:  0.414
act: Idle  | ter: False | rew: 4  | pos:  2.447 | vel: -0.677
act: Up    | ter: False | rew: 4  | pos:  2.465 | vel:  1.053
act: Idle  | ter: False | rew: 4  | pos:  2.513 | vel: -0.102
act: Up    | ter: False | rew: 4  | pos:  2.585 | vel:  1.560
act: Idle  | ter: False | rew: 2  | pos:  2.681 | vel:  0.338
act: Idle  | ter: False | rew: 2  | pos:  2.645 | vel: -1.065
act: Up    | ter: False | rew: 4  | pos:  2.624 | vel:  0.650
act: Idle  | ter: False | rew: 2  | pos:  2.633 | vel: -0.483
act: Up    | ter: False | rew: 2  | pos:  2.668 | vel:  1.205
act: Up    | ter: False | rew: 1  | pos:  2.878 | vel:  3.011
act: Down  | ter: False | rew: -1 | pos:  3.037 | vel:  0.137
act: Idle  | ter: False | rew: 1  | pos:  2.972 | vel: -1.448
act: Up    | ter: False | rew: 1  | pos:  2.911 | vel:  0.253
act: Idle  | ter: False | rew: 1  | pos:  2.881 | vel: -0.873
act: Up    | ter: False | rew: 1  | pos:  2.878 | vel:  0.828
act: Idle  | ter: False | rew: 1  | pos:  2.902 | vel: -0.349
act: Up    | ter: False | rew: 1  | pos:  2.949 | vel:  1.295
act: Idle  | ter: False | rew: -1 | pos:  3.017 | vel:  0.060
act: Idle  | ter: False | rew: 1  | pos:  2.953 | vel: -1.352
act: Up    | ter: False | rew: 1  | pos:  2.903 | vel:  0.359
act: Idle  | ter: False | rew: 1  | pos:  2.883 | vel: -0.775
act: Up    | ter: False | rew: 1  | pos:  2.889 | vel:  0.916
act: Idle  | ter: False | rew: 1  | pos:  2.922 | vel: -0.272
act: Up    | ter: False | rew: 1  | pos:  2.975 | vel:  1.362
act: Idle  | ter: False | rew: -1 | pos:  3.050 | vel:  0.117
act: Idle  | ter: False | rew: 1  | pos:  2.991 | vel: -1.304
act: Up    | ter: False | rew: 1  | pos:  2.945 | vel:  0.397
act: Idle  | ter: False | rew: 1  | pos:  2.928 | vel: -0.746
act: Up    | ter: False | rew: 1  | pos:  2.937 | vel:  0.937
act: Idle  | ter: False | rew: 1  | pos:  2.972 | vel: -0.258
act: Up    | ter: False | rew: -1 | pos:  3.026 | vel:  1.368
act: Idle  | ter: False | rew: -1 | pos:  3.101 | vel:  0.117
act: Idle  | ter: False | rew: -1 | pos:  3.042 | vel: -1.310
act: Up    | ter: False | rew: 1  | pos:  2.995 | vel:  0.387
act: Idle  | ter: False | rew: 1  | pos:  2.977 | vel: -0.761
act: Up    | ter: False | rew: 1  | pos:  2.984 | vel:  0.918
act: Idle  | ter: False | rew: -1 | pos:  3.017 | vel: -0.281
act: Up    | ter: False | rew: -1 | pos:  3.069 | vel:  1.343
act: Idle  | ter: False | rew: -1 | pos:  3.141 | vel:  0.090
act: Idle  | ter: False | rew: -1 | pos:  3.079 | vel: -1.339
act: Up    | ter: False | rew: -1 | pos:  3.029 | vel:  0.357
act: Idle  | ter: False | rew: -1 | pos:  3.008 | vel: -0.792
act: Up    | ter: False | rew: -1 | pos:  3.012 | vel:  0.887
act: Idle  | ter: False | rew: -1 | pos:  3.042 | vel: -0.312
act: Up    | ter: False | rew: -1 | pos:  3.091 | vel:  1.313
act: Idle  | ter: False | rew: -1 | pos:  3.160 | vel:  0.060
act: Idle  | ter: False | rew: -1 | pos:  3.095 | vel: -1.368
act: Up    | ter: False | rew: -1 | pos:  3.043 | vel:  0.329
act: Idle  | ter: False | rew: -1 | pos:  3.019 | vel: -0.818
act: Up    | ter: False | rew: -1 | pos:  3.020 | vel:  0.862
act: Idle  | ter: False | rew: -1 | pos:  3.047 | vel: -0.335
act: Up    | ter: False | rew: -1 | pos:  3.094 | vel:  1.292
act: Idle  | ter: False | rew: -1 | pos:  3.161 | vel:  0.041
act: Idle  | ter: False | rew: -1 | pos:  3.095 | vel: -1.385
act: Up    | ter: False | rew: -1 | pos:  3.041 | vel:  0.314
act: Up    | ter: False | rew: -1 | pos:  3.164 | vel:  2.169
act: Down  | ter: False | rew: -1 | pos:  3.241 | vel: -0.649
act: Up    | ter: False | rew: -1 | pos:  3.249 | vel:  0.825
act: Idle  | ter: False | rew: -1 | pos:  3.271 | vel: -0.411
act: Up    | ter: False | rew: -1 | pos:  3.309 | vel:  1.196
act: Idle  | ter: False | rew: -1 | pos:  3.366 | vel: -0.069
act: Up    | ter: False | rew: -1 | pos:  3.436 | vel:  1.494
act: Down  | ter: False | rew: -1 | pos:  3.447 | vel: -1.317
act: Up    | ter: False | rew: -1 | pos:  3.390 | vel:  0.202
act: Idle  | ter: False | rew: -1 | pos:  3.351 | vel: -0.986
act: Up    | ter: False | rew: -1 | pos:  3.335 | vel:  0.673
act: Idle  | ter: False | rew: -1 | pos:  3.342 | vel: -0.539
act: Up    | ter: False | rew: -1 | pos:  3.368 | vel:  1.075
act: Idle  | ter: False | rew: -1 | pos:  3.414 | vel: -0.183
act: Up    | ter: False | rew: -1 | pos:  3.473 | vel:  1.386
act: Idle  | ter: False | rew: -1 | pos:  3.547 | vel:  0.083
act: Up    | ter: False | rew: -1 | pos:  3.631 | vel:  1.609
act: Idle  | ter: False | rew: -1 | pos:  3.725 | vel:  0.265
act: Idle  | ter: False | rew: -1 | pos:  3.677 | vel: -1.249
act: Up    | ter: False | rew: -1 | pos:  3.632 | vel:  0.370
act: Idle  | ter: False | rew: -1 | pos:  3.609 | vel: -0.847
act: Up    | ter: False | rew: -1 | pos:  3.604 | vel:  0.770
act: Down  | ter: False | rew: -1 | pos:  3.545 | vel: -1.983
act: Up    | ter: False | rew: -1 | pos:  3.424 | vel: -0.406
act: Up    | ter: False | rew: -1 | pos:  3.477 | vel:  1.467
act: Idle  | ter: False | rew: -1 | pos:  3.560 | vel:  0.186
act: Idle  | ter: False | rew: -1 | pos:  3.505 | vel: -1.296
act: Up    | ter: False | rew: -1 | pos:  3.457 | vel:  0.347
act: Down  | ter: False | rew: -1 | pos:  3.358 | vel: -2.348
act: Up    | ter: False | rew: -1 | pos:  3.204 | vel: -0.711
act: Up    | ter: False | rew: -1 | pos:  3.229 | vel:  1.218
act: Up    | ter: False | rew: -1 | pos:  3.438 | vel:  2.992
act: Down  | ter: False | rew: -1 | pos:  3.592 | vel:  0.060
act: Up    | ter: False | rew: -1 | pos:  3.666 | vel:  1.421
act: Up    | ter: False | rew: -1 | pos:  3.890 | vel:  3.074
act: Down  | ter: False | rew: -1 | pos:  4.049 | vel:  0.077
act: Down  | ter: False | rew: -1 | pos:  3.899 | vel: -3.116
act: Up    | ter: False | rew: -1 | pos:  3.666 | vel: -1.510
act: Up    | ter: False | rew: -1 | pos:  3.612 | vel:  0.447
act: Down  | ter: False | rew: -1 | pos:  3.524 | vel: -2.242
act: Up    | ter: False | rew: -1 | pos:  3.379 | vel: -0.631
act: Up    | ter: False | rew: -1 | pos:  3.410 | vel:  1.271
act: Up    | ter: False | rew: -1 | pos:  3.624 | vel:  3.018
act: Down  | ter: False | rew: -1 | pos:  3.780 | vel:  0.063
act: Up    | ter: False | rew: -1 | pos:  3.852 | vel:  1.402
act: Up    | ter: False | rew: -1 | pos:  4.073 | vel:  3.037
act: Down  | ter: False | rew: -1 | pos:  4.228 | vel:  0.023
act: Down  | ter: False | rew: -1 | pos:  4.071 | vel: -3.184
act: Idle  | ter: False | rew: -1 | pos:  3.683 | vel: -4.590
act: Up    | ter: False | rew: -1 | pos:  3.321 | vel: -2.644
act: Up    | ter: False | rew: -1 | pos:  3.162 | vel: -0.511
act: Idle  | ter: False | rew: -1 | pos:  3.059 | vel: -1.546
act: Up    | ter: False | rew: 1  | pos:  2.992 | vel:  0.210
act: Idle  | ter: False | rew: 1  | pos:  2.957 | vel: -0.914
act: Up    | ter: False | rew: 1  | pos:  2.950 | vel:  0.783
act: Idle  | ter: False | rew: 1  | pos:  2.970 | vel: -0.397
act: Up    | ter: False | rew: -1 | pos:  3.011 | vel:  1.244
act: Down  | ter: False | rew: -1 | pos:  3.000 | vel: -1.492
act: Up    | ter: False | rew: 1  | pos:  2.929 | vel:  0.095
act: Idle  | ter: False | rew: 1  | pos:  2.883 | vel: -1.029
act: Up    | ter: False | rew: 1  | pos:  2.865 | vel:  0.687
act: Idle  | ter: False | rew: 1  | pos:  2.877 | vel: -0.474
act: Down  | ter: False | rew: 2  | pos:  2.689 | vel: -3.314
act: Up    | ter: False | rew: 4  | pos:  2.445 | vel: -1.533
act: Up    | ter: False | rew: 4  | pos:  2.396 | vel:  0.566
act: Idle  | ter: False | rew: 4  | pos:  2.400 | vel: -0.499
act: Up    | ter: False | rew: 4  | pos:  2.435 | vel:  1.221
act: Idle  | ter: False | rew: 4  | pos:  2.499 | vel:  0.052
act: Idle  | ter: False | rew: 4  | pos:  2.438 | vel: -1.300
act: Up    | ter: False | rew: 4  | pos:  2.395 | vel:  0.463
act: Idle  | ter: False | rew: 4  | pos:  2.387 | vel: -0.625
act: Up    | ter: False | rew: 4  | pos:  2.411 | vel:  1.106
act: Idle  | ter: False | rew: 4  | pos:  2.464 | vel: -0.048
act: Up    | ter: False | rew: 4  | pos:  2.541 | vel:  1.614
