############################### LEARNING PARAMETERS ################################

Policy improvement maximum episodes         : 1000
Policy scoring maximum episodes             : 100
Log ID                                      : 6
Log mode                                    : learn
Learning rate                               : 0.1
Maximum number of simulation step           : 1000
Observation space (Position [m])            : [-10, 10]
Observation space (Velocity [m/s])          : [-10, 10]
Terminal state bound (Position [m])         : [-4.0, 6.0]
Desired height (Position [m])               : 1
Printing for every                          : 100.0 episodes

############################# Q-LEARNING RESULT LOG ################################

Note:
Score is defined as the ratio between the obtained rewards and the total steps
taken, averaged across all the scoring episodes.

Q-Learning episode: 100, epsilon:  0.78
New best score of -655.0 achieved at episode 100
Best Q-table saved to ./02_Saved\Scores\best_q_table_6_learn.pkl
Over all scoring episodes:
Score: -655.0 ; Average step taken 1000.0:

Q-Learning episode: 200, epsilon:  0.61
New best score of -217.0 achieved at episode 200
Best Q-table saved to ./02_Saved\Scores\best_q_table_6_learn.pkl
Over all scoring episodes:
Score: -217.0 ; Average step taken 1000.0:

Q-Learning episode: 300, epsilon:  0.47
Over all scoring episodes:
Score: -925.0 ; Average step taken 1000.0:

Q-Learning episode: 400, epsilon:  0.37
Over all scoring episodes:
Score: -655.0 ; Average step taken 1000.0:

Q-Learning episode: 500, epsilon:  0.29
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 600, epsilon:  0.22
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 700, epsilon:  0.17
New best score of 61.0 achieved at episode 700
Best Q-table saved to ./02_Saved\Scores\best_q_table_6_learn.pkl
Over all scoring episodes:
Score: 61.0 ; Average step taken 1000.0:

Q-Learning episode: 800, epsilon:  0.14
New best score of 178.0 achieved at episode 800
Best Q-table saved to ./02_Saved\Scores\best_q_table_6_learn.pkl
Over all scoring episodes:
Score: 178.0 ; Average step taken 1000.0:

Q-Learning episode: 900, epsilon:  0.11
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

Q-Learning episode: 1000, epsilon:  0.08
Over all scoring episodes:
Score: -1000.0 ; Average step taken 1000.0:

############################# LAST EPISODE RESULTS #################################
------------------------------------------------------------------------------------
States visited: 1001 | Step taken: 1000 | Total rewards: 181 | Elapsed Time: 2806.7
------------------------------------------------------------------------------------
act:  -    | ter:   -   | rew: -  |  pos: 0.000 | vel: 0.000
act: Up    | ter: False | rew: -1 | pos:  0.100 | vel:  2.019
act: Idle  | ter: False | rew: -1 | pos:  0.253 | vel:  1.038
act: Down  | ter: False | rew: -1 | pos:  0.223 | vel: -1.665
act: Up    | ter: False | rew: -1 | pos:  0.150 | vel:  0.220
act: Down  | ter: False | rew: -1 | pos:  0.057 | vel: -2.109
act: Up    | ter: False | rew: -1 | pos: -0.056 | vel: -0.128
act: Up    | ter: False | rew: -1 | pos:  0.042 | vel:  2.107
act: Idle  | ter: False | rew: -1 | pos:  0.205 | vel:  1.145
act: Down  | ter: False | rew: -1 | pos:  0.185 | vel: -1.562
act: Up    | ter: False | rew: -1 | pos:  0.122 | vel:  0.317
act: Down  | ter: False | rew: -1 | pos:  0.038 | vel: -2.019
act: Up    | ter: False | rew: -1 | pos: -0.066 | vel: -0.045
act: Up    | ter: False | rew: -1 | pos:  0.040 | vel:  2.182
act: Up    | ter: False | rew: -1 | pos:  0.358 | vel:  4.212
act: Down  | ter: False | rew: 1  | pos:  0.645 | vel:  1.498
act: Down  | ter: False | rew: 1  | pos:  0.649 | vel: -1.461
act: Up    | ter: False | rew: 1  | pos:  0.592 | vel:  0.336
act: Down  | ter: False | rew: 1  | pos:  0.507 | vel: -2.057
act: Up    | ter: False | rew: -1 | pos:  0.396 | vel: -0.132
act: Up    | ter: False | rew: -1 | pos:  0.491 | vel:  2.052
act: Idle  | ter: False | rew: 1  | pos:  0.647 | vel:  1.046
act: Down  | ter: False | rew: 1  | pos:  0.615 | vel: -1.700
act: Idle  | ter: False | rew: -1 | pos:  0.388 | vel: -2.856
act: Up    | ter: False | rew: -1 | pos:  0.208 | vel: -0.720
act: Up    | ter: False | rew: -1 | pos:  0.249 | vel:  1.561
act: Down  | ter: False | rew: -1 | pos:  0.285 | vel: -0.866
act: Up    | ter: False | rew: -1 | pos:  0.289 | vel:  0.965
act: Down  | ter: False | rew: -1 | pos:  0.266 | vel: -1.454
act: Up    | ter: False | rew: -1 | pos:  0.214 | vel:  0.435
act: Down  | ter: False | rew: -1 | pos:  0.141 | vel: -1.920
act: Up    | ter: False | rew: -1 | pos:  0.046 | vel:  0.032
act: Down  | ter: False | rew: -1 | pos: -0.065 | vel: -2.262
act: Up    | ter: False | rew: -1 | pos: -0.191 | vel: -0.250
act: Up    | ter: False | rew: -1 | pos: -0.104 | vel:  2.013
act: Up    | ter: False | rew: -1 | pos:  0.199 | vel:  4.077
act: Down  | ter: False | rew: -1 | pos:  0.474 | vel:  1.395
